area,rooms,floor,year_built,price
92.9,2,10,1993,85864.93
45.1,4,5,1971,56601.24
51.5,3,10,2004,77087.99
61.5,1,1,2016,60133.82
52.4,1,22,2012,50317.51
36.7,2,6,1966,26588.99
61.0,3,13,1969,80247.33
44.1,4,15,2004,82054.37
67.1,1,4,1976,54091.35
46.2,2,13,1985,71333.28
83.2,2,24,1980,74098.37
48.3,4,20,1987,61745.71
55.2,3,24,2021,73616.18
72.2,3,15,2017,90206.35
41.5,2,8,2005,54063.02
63.4,2,5,1961,57017.16
79.6,2,15,2019,90506.27
35.9,1,4,2013,24994.81
62.8,3,12,2002,93653.25
63.9,3,13,1960,71197.08
71.7,4,2,2010,106154.83
41.4,4,19,2012,79683.84
40.2,2,19,1995,56422.05
67.8,3,4,2010,88160.97
64.5,4,4,1985,89240.9
63.8,3,11,1988,83333.14
65.2,2,5,1980,77948.9
49.8,2,20,1970,56804.92
63.5,1,11,1999,65977.08
64.4,4,10,1970,82619.51
49.3,3,8,1995,80228.96
88.0,2,6,2008,82025.37
67.1,3,6,2018,102095.4
42.1,3,8,1998,60302.78
69.8,2,23,1999,63270.89
45.4,1,15,1994,45884.86
71.8,3,14,2013,82434.5
77.4,2,11,1993,87209.58
47.7,3,12,2014,63025.57
74.5,2,13,2006,75198.68
66.2,3,8,1983,58057.96
72.3,2,18,2013,76341.66
88.5,2,1,1981,58022.72
56.3,3,15,1964,51516.31
48.7,2,8,2015,66959.31
46.7,1,11,1992,51883.83
47.8,1,12,2017,54464.85
58.8,3,12,1995,65005.02
65.1,3,4,2006,79016.71
64.2,3,16,1979,76884.26
72.4,2,4,1978,58142.55
60.2,1,5,1994,68490.01
81.8,1,24,2011,88616.03
56.0,2,5,2002,59514.48
100.8,2,8,1976,93510.89
69.4,2,10,2021,79791.84
47.1,2,17,2018,40996.76
43.9,4,9,2004,71177.52
67.2,2,22,2002,68969.83
56.6,2,19,1993,54602.25
70.7,3,14,1968,76557.0
67.1,2,8,1985,86055.72
58.9,3,9,1961,73434.48
47.3,3,22,2012,66126.69
37.3,4,11,1968,67447.66
53.3,1,23,1968,62135.37
72.8,4,1,1999,102623.12
63.2,2,14,1976,65565.43
41.3,2,5,1960,35081.77
62.6,2,21,1984,75160.4
65.8,4,14,2020,99758.66
46.7,2,4,2002,62945.64
62.3,2,22,1999,77596.42
60.9,3,23,2001,91294.03
42.9,2,1,1984,41032.0
65.4,1,22,1998,76667.39
68.4,1,23,1994,67405.41
76.2,1,19,1962,84849.22
75.8,1,8,2009,62953.75
39.3,1,15,1996,57527.61
45.9,3,21,2003,70625.21
67.7,1,15,2003,57766.24
67.7,2,9,2010,69026.57
67.7,3,21,1989,80077.1
117.8,2,9,1997,115574.44
68.6,3,10,1993,86679.04
77.0,1,20,1971,61089.79
74.3,1,21,1978,66104.48
69.8,1,9,1996,84139.4
55.3,1,3,2003,67992.2
71.4,2,20,2018,86070.87
48.4,1,11,2018,51006.13
56.4,1,6,2008,54758.49
52.7,1,2,2020,57910.82
61.2,2,7,1976,51054.56
94.7,2,18,1969,87402.14
32.0,2,2,2016,27706.98
70.3,2,17,2014,83127.35
35.8,3,11,2008,65019.37
52.9,1,12,2006,47304.95
76.3,3,19,1971,101707.27
61.0,3,22,2021,72313.7
43.8,1,24,1975,27623.31
49.3,3,7,1983,65360.87
70.2,4,20,1978,103226.16
49.0,1,6,1967,56274.88
63.2,2,21,1990,65308.66
60.7,3,24,1980,87533.67
50.2,3,1,1976,60295.71
92.2,1,17,1982,78501.06
69.5,2,11,1996,81943.63
29.6,2,22,2013,54421.52
62.8,2,18,1975,49873.53
50.1,3,21,1965,79123.97
72.8,2,17,1967,85530.11
48.1,2,7,1984,46134.12
58.3,3,17,1977,76081.2
67.6,1,20,1984,66800.15
73.0,2,9,1971,72895.8
42.0,3,17,1974,52993.39
55.0,3,20,2018,71869.75
52.9,2,22,1985,60645.12
50.2,2,22,2000,73487.34
86.5,1,8,2004,82821.45
66.1,2,17,1985,66253.64
41.1,2,7,2006,58886.38
73.8,2,1,1991,44028.92
91.8,2,13,1969,97653.53
75.5,2,23,1975,59892.45
37.2,1,19,1966,30043.15
52.7,2,24,1976,48392.49
79.0,2,19,1982,67356.12
49.4,2,17,1985,68216.23
66.7,1,13,1980,53548.82
71.6,3,16,1981,86760.65
46.1,2,8,2017,57207.63
59.1,3,19,1966,75956.1
20.0,3,18,1973,41768.22
44.6,2,1,1974,32977.43
56.2,1,14,2012,66531.85
41.3,2,19,1966,41989.04
84.5,2,15,1968,65123.12
38.5,3,18,2010,58957.15
53.4,2,2,2007,74727.06
62.0,1,22,1967,63071.1
81.6,2,17,2009,83708.76
38.5,2,18,2018,51277.08
77.4,3,6,1982,81941.61
60.2,2,19,1988,87190.28
45.3,2,4,1977,51641.25
66.9,4,1,1990,91145.66
63.0,3,8,1989,85891.55
51.0,2,23,2011,67285.29
61.0,1,7,1998,52947.2
54.2,1,3,1994,46112.74
61.7,2,10,1977,62046.2
69.9,1,10,2018,67173.35
83.8,1,19,2001,85208.5
41.4,2,14,1998,52465.67
92.0,1,2,1976,81722.8
30.7,3,1,1973,43667.78
57.7,1,23,1990,56864.93
68.8,2,23,1983,53577.8
64.2,2,18,1994,79735.18
50.7,4,7,2003,81692.49
56.9,1,8,2019,66682.63
52.6,2,1,2004,29221.44
51.2,4,23,1993,102311.37
72.7,3,3,1962,75099.33
65.4,3,24,1996,94766.01
49.6,2,23,2002,51586.03
73.5,1,8,1999,72122.94
64.6,3,22,1985,69753.44
72.2,4,15,2014,93816.66
69.4,2,5,1982,87595.86
