brand,model,year,engine_volume,mileage,horsepower,price
Hyundai,Santa Fe,2021,1.7,233,209,304058.15
Ford,Kuga,2020,1.2,216,160,292952.56
Volkswagen,Tiguan,2022,2.3,37,340,575496.42
Audi,A3,2018,2.6,228,279,375767.15
Mercedes-Benz,E-Class,2020,1.9,110,245,434849.99
Ford,Focus,2017,2.8,67,130,333565.31
Audi,A3,2020,2.1,33,72,284676.84
Ford,Mondeo,2006,1.9,236,341,414909.88
Hyundai,Elantra,2010,2.0,178,233,359279.97
Audi,A4,2009,2.2,255,78,151250.97
Volkswagen,Golf,2010,2.5,221,81,168908.33
Volkswagen,Tiguan,2022,2.3,275,143,294716.44
Mercedes-Benz,GLC,2008,2.1,30,307,481996.37
Audi,A4,2002,2.0,133,177,314924.61
Skoda,Octavia,2004,2.4,106,82,199943.04
Volkswagen,Golf,2022,1.7,147,303,433350.51
Mercedes-Benz,GLC,2000,1.2,102,314,436252.52
Kia,Rio,2000,2.1,104,161,269657.6
Nissan,Qashqai,2019,1.5,33,267,414004.94
Mercedes-Benz,C-Class,2004,1.3,145,185,270373.58
BMW,X5,2018,2.8,142,200,376675.17
Skoda,Octavia,2005,1.0,63,222,333090.69
Hyundai,Santa Fe,2002,2.3,121,190,286021.24
Toyota,Camry,2020,1.5,140,177,326833.92
Nissan,Qashqai,2012,1.6,287,85,105972.74
Hyundai,Elantra,2016,2.2,273,125,213176.53
Audi,A3,2002,3.2,87,172,349386.07
Toyota,RAV4,2022,2.4,272,277,412516.81
BMW,5 Series,2002,1.5,77,220,326223.74
BMW,X5,2020,2.0,71,331,564989.42
Volkswagen,Tiguan,2022,1.9,184,112,263682.87
Skoda,Octavia,2012,1.0,289,187,206707.47
Ford,Kuga,2001,2.0,245,348,382958.56
Toyota,Camry,2002,1.7,145,213,288039.11
Hyundai,Santa Fe,2019,2.4,233,297,359174.6
Mercedes-Benz,C-Class,2015,1.8,98,273,465521.59
Toyota,Corolla,2020,2.8,116,298,486419.83
BMW,5 Series,2011,2.2,50,334,527247.97
Volkswagen,Passat,2008,2.1,195,206,301987.31
BMW,3 Series,2015,3.0,197,309,402707.22
Mercedes-Benz,C-Class,2003,2.2,18,255,432645.67
Hyundai,Santa Fe,2019,2.8,189,220,387400.79
Nissan,Leaf,2017,1.4,195,179,309231.98
Audi,A3,2000,1.0,91,109,235807.86
Nissan,X-Trail,2006,2.1,186,211,304259.85
BMW,5 Series,2019,2.6,103,82,205298.65
Audi,Q5,2011,1.4,125,122,262474.44
Ford,Kuga,2007,1.8,169,149,248287.26
Kia,Sportage,2007,1.2,254,302,394865.59
Hyundai,Elantra,2021,2.0,292,108,237376.25
Nissan,X-Trail,2008,2.0,222,296,401509.51
BMW,X5,2013,2.3,161,190,285085.45
Hyundai,Santa Fe,2019,1.7,175,134,234784.29
Hyundai,Elantra,2004,1.9,152,274,386060.4
Ford,Focus,2019,2.3,34,204,385865.78
Ford,Mondeo,2020,2.1,209,114,258604.88
Ford,Kuga,2001,2.2,242,347,421139.94
Kia,Rio,2020,2.4,13,204,469524.43
Volkswagen,Tiguan,2009,2.4,297,121,199829.77
Skoda,Octavia,2008,3.1,182,298,408318.9
Mercedes-Benz,C-Class,2006,2.2,193,137,225888.3
BMW,5 Series,2022,2.2,260,267,350819.99
Ford,Mondeo,2021,1.8,295,136,219181.96
Hyundai,Elantra,2017,2.0,121,72,173116.05
Kia,Ceed,2011,1.4,139,127,236176.83
Skoda,Kodiaq,2010,1.7,196,325,433475.62
Mercedes-Benz,GLC,2009,2.6,38,334,534413.91
BMW,X5,2012,1.2,167,85,208192.47
Hyundai,Elantra,2008,2.7,244,337,391516.8
Toyota,RAV4,2015,1.8,287,171,201402.65
Hyundai,Elantra,2020,1.5,111,291,465403.47
Toyota,Camry,2021,1.9,234,90,175135.29
Audi,Q5,2016,2.3,284,90,137716.73
Hyundai,Elantra,2004,2.0,241,161,222855.33
Mercedes-Benz,C-Class,2005,3.0,283,202,259828.44
Ford,Mondeo,2009,2.2,122,244,438713.63
Kia,Rio,2010,2.3,148,282,418297.12
BMW,X5,2001,2.3,225,217,282830.25
Volkswagen,Golf,2006,2.1,283,301,330544.46
Toyota,Camry,2013,1.9,193,234,360174.9
Hyundai,Tucson,2003,2.1,203,214,287746.2
Toyota,Camry,2004,2.1,288,292,314028.35
Toyota,Camry,2018,2.0,281,131,204290.0
Nissan,Qashqai,2020,2.6,81,165,353153.53
Kia,Sportage,2019,2.6,205,181,310496.59
Toyota,RAV4,2009,1.4,279,156,252847.93
Volkswagen,Golf,2005,2.5,249,324,405542.47
Nissan,X-Trail,2001,2.0,117,182,286900.23
Hyundai,Santa Fe,2002,1.8,109,323,434078.42
BMW,5 Series,2014,2.4,90,101,236142.76
Volkswagen,Golf,2009,2.1,279,133,142361.64
Kia,Ceed,2016,1.6,26,223,433631.3
BMW,X5,2006,2.4,202,74,182129.05
Audi,A4,2001,2.0,221,279,346633.58
Audi,Q5,2006,2.4,135,161,321658.36
Ford,Focus,2014,2.0,135,291,435978.45
Audi,A3,2002,2.4,139,259,388903.56
Kia,Rio,2004,2.5,154,129,237159.67
Ford,Mondeo,2021,2.6,265,274,319028.16
Ford,Focus,2007,1.7,32,281,474152.71
Volkswagen,Passat,2003,2.9,223,327,383250.34
Mercedes-Benz,E-Class,2017,1.9,138,158,309464.32
BMW,3 Series,2018,1.4,21,305,483919.21
Volkswagen,Golf,2007,2.1,150,265,384655.09
Skoda,Kodiaq,2022,1.9,277,252,384243.96
Mercedes-Benz,GLC,2005,1.7,66,320,475952.45
Nissan,X-Trail,2004,2.0,95,293,442864.74
Toyota,RAV4,2004,2.4,283,240,279114.22
Skoda,Kodiaq,2016,2.2,112,267,420867.54
BMW,X5,2005,2.7,152,318,428457.29
BMW,3 Series,2012,1.9,185,250,375604.27
Ford,Focus,2008,2.2,142,346,468748.6
Nissan,Leaf,2011,2.1,273,344,424788.38
Audi,A4,2009,2.9,156,230,357568.38
Nissan,Qashqai,2000,1.5,21,317,486880.94
Nissan,Leaf,2010,1.7,64,257,431379.17
Ford,Focus,2005,3.0,239,88,171313.65
Nissan,X-Trail,2002,1.9,131,313,433533.65
Kia,Sportage,2005,1.2,242,182,250838.38
Mercedes-Benz,C-Class,2008,3.0,171,347,516835.77
Toyota,RAV4,2021,1.5,91,120,274961.76
Ford,Focus,2007,2.0,56,192,372047.92
BMW,5 Series,2014,2.5,169,307,456669.94
Nissan,Qashqai,2021,2.5,188,131,298160.22
Ford,Mondeo,2005,1.6,217,143,194859.81
Skoda,Octavia,2022,3.2,49,314,547075.99
BMW,5 Series,2010,2.3,223,101,178750.71
Toyota,Corolla,2009,2.0,163,222,341275.64
Volkswagen,Golf,2010,1.5,175,213,288908.11
Ford,Mondeo,2003,2.2,281,84,155576.23
Audi,A3,2012,2.8,33,343,546968.18
Mercedes-Benz,C-Class,2007,1.9,124,314,479129.31
BMW,5 Series,2019,1.1,269,348,400997.84
Volkswagen,Golf,2014,1.6,235,124,210533.68
Audi,A3,2006,1.8,111,111,237073.96
Nissan,Leaf,2000,1.2,140,121,216637.72
Nissan,Leaf,2008,2.3,273,80,157451.6
Toyota,RAV4,2022,2.4,21,157,352237.51
Nissan,X-Trail,2007,1.6,190,296,408699.67
Hyundai,Santa Fe,2001,2.4,170,183,296293.89
Toyota,Corolla,2013,1.5,123,94,189089.63
Toyota,Corolla,2011,1.3,27,161,367520.16
Kia,Sportage,2022,1.5,113,156,288934.18
Nissan,Qashqai,2016,1.6,195,150,264434.98
Mercedes-Benz,C-Class,2018,2.4,102,319,487610.24
Nissan,Leaf,2005,2.3,152,319,424491.19
Volkswagen,Tiguan,2020,1.5,152,279,409425.44
Hyundai,Tucson,2004,1.7,109,78,207590.83
Ford,Kuga,2005,2.9,71,168,308345.28
Hyundai,Santa Fe,2002,2.4,93,105,261019.43
Kia,Rio,2015,1.3,285,126,192884.97
Audi,A3,2017,2.7,176,132,269961.72
BMW,3 Series,2013,3.1,138,345,523952.48
Ford,Mondeo,2014,2.0,76,282,438306.26
Volkswagen,Tiguan,2003,1.8,56,89,229972.97
Audi,A4,2010,1.8,157,316,390988.99
Audi,A3,2004,1.8,259,75,104547.66
Kia,Ceed,2008,2.4,146,142,244114.69
BMW,X5,2004,1.7,104,176,251066.61
Skoda,Superb,2006,2.4,247,162,225600.97
Audi,A3,2017,2.0,293,288,354653.97
BMW,3 Series,2017,1.7,44,118,313424.21
Hyundai,Santa Fe,2019,2.2,267,246,352935.52
Audi,A3,2001,1.9,279,177,197847.02
Nissan,Leaf,2022,1.7,56,134,343445.92
Audi,Q5,2012,2.0,103,123,294879.95
Nissan,X-Trail,2012,2.0,191,99,231948.77
Hyundai,Elantra,2016,1.8,199,315,438950.33
Toyota,Corolla,2021,1.6,60,279,481213.47
BMW,5 Series,2016,2.0,215,290,370881.63
Mercedes-Benz,C-Class,2005,2.1,134,239,374225.43
Skoda,Octavia,2013,2.2,221,283,355701.27
Toyota,RAV4,2020,2.2,275,138,237558.12
Volkswagen,Golf,2013,2.7,144,303,465579.68
BMW,X5,2011,1.5,282,84,141780.16
Toyota,Camry,2004,2.8,287,203,186706.67
Hyundai,Tucson,2004,1.3,276,275,320126.37
Volkswagen,Golf,2003,2.6,288,93,172723.13
Volkswagen,Tiguan,2022,2.3,223,154,239890.3
Ford,Mondeo,2012,1.7,71,211,374934.52
Skoda,Kodiaq,2003,1.0,63,209,326797.72
Skoda,Octavia,2017,1.3,121,191,333642.63
Ford,Focus,2015,1.7,278,248,345104.54
Kia,Rio,2017,2.2,116,277,445011.02
Skoda,Kodiaq,2001,1.7,292,235,226530.66
Toyota,Camry,2022,2.0,177,110,235875.26
Skoda,Octavia,2003,1.8,83,191,300133.55
Audi,Q5,2019,2.1,245,113,167766.92
Kia,Sportage,2016,1.3,101,144,278774.39
Toyota,RAV4,2019,1.9,94,341,530898.47
Audi,Q5,2005,2.3,84,235,387326.96
Kia,Rio,2017,3.3,93,319,518783.73
Kia,Sportage,2019,2.4,254,155,250781.87
BMW,X5,2006,1.9,237,206,266665.02
Skoda,Superb,2012,1.7,92,108,270495.15
Ford,Kuga,2008,2.2,24,156,358213.72
Volkswagen,Passat,2001,1.6,190,224,296496.54
Hyundai,Tucson,2007,2.1,272,229,253852.31
Kia,Ceed,2013,2.2,87,133,286771.97
Volkswagen,Passat,2021,1.9,238,292,409924.73
Volkswagen,Golf,2017,2.5,242,215,303391.94
Hyundai,Elantra,2000,2.0,39,273,403068.15
BMW,5 Series,2022,1.8,164,136,298491.31
Toyota,Corolla,2008,1.7,194,74,179780.06
Skoda,Superb,2008,1.4,264,128,148999.62
Hyundai,Santa Fe,2001,1.3,178,145,176164.0
Toyota,RAV4,2015,2.3,90,329,469780.44
Nissan,Leaf,2003,2.7,295,317,374224.64
Toyota,Camry,2012,3.1,219,85,177402.69
Kia,Sportage,2016,2.6,268,144,221591.92
Kia,Rio,2010,2.3,46,245,392168.16
Kia,Rio,2022,2.2,295,205,292858.3
BMW,X5,2001,2.7,63,346,490615.84
Volkswagen,Golf,2003,1.8,221,237,307579.53
BMW,5 Series,2011,2.9,109,99,269063.71
Mercedes-Benz,GLC,2001,2.0,94,338,410349.43
Audi,A4,2000,2.1,222,70,134817.15
BMW,X5,2022,2.0,273,240,332341.41
BMW,X5,2005,2.6,95,198,373299.74
Ford,Mondeo,2015,2.0,72,237,390413.73
Toyota,RAV4,2001,2.2,201,130,215243.81
Nissan,Qashqai,2013,1.4,102,186,329269.0
Hyundai,Tucson,2019,1.9,262,192,259617.41
Hyundai,Tucson,2011,2.5,147,329,490127.5
Nissan,Qashqai,2018,1.6,58,295,487028.26
Skoda,Kodiaq,2002,2.0,130,255,352433.38
Nissan,X-Trail,2018,2.0,48,154,327328.78
Toyota,Corolla,2010,1.7,43,287,483365.33
Ford,Mondeo,2003,2.5,275,212,279978.06
Hyundai,Elantra,2016,2.2,18,159,367277.61
Ford,Kuga,2016,2.5,197,337,461109.93
Nissan,Qashqai,2006,2.5,105,145,257470.01
Audi,A4,2004,2.0,142,138,278277.97
Ford,Mondeo,2018,2.8,172,229,350095.01
Kia,Rio,2020,1.4,148,77,238621.88
Ford,Kuga,2018,1.9,89,288,511000.25
Nissan,Leaf,2008,2.1,100,157,278795.22
Audi,Q5,2016,1.1,265,210,260068.11
Toyota,Corolla,2008,2.7,157,98,202780.17
Nissan,X-Trail,2013,1.6,188,82,215033.94
Mercedes-Benz,E-Class,2004,2.0,266,132,179237.84
Nissan,Leaf,2021,2.4,227,244,329515.97
Volkswagen,Tiguan,2001,3.2,276,285,312008.96
Volkswagen,Tiguan,2014,1.2,88,304,467584.98
Volkswagen,Passat,2015,2.3,176,156,265634.28
Audi,Q5,2018,1.9,113,143,259362.86
Mercedes-Benz,E-Class,2000,2.3,293,138,176561.48
Kia,Rio,2022,2.5,224,138,276230.83
BMW,5 Series,2011,2.2,84,292,433034.65
BMW,5 Series,2018,2.0,234,191,284244.22
BMW,X5,2019,1.5,79,332,496235.2
Nissan,Leaf,2014,1.5,199,290,382651.72
Mercedes-Benz,C-Class,2004,2.4,115,233,394627.39
BMW,X5,2000,1.6,79,332,467981.05
Skoda,Superb,2010,2.2,19,161,365080.66
Skoda,Superb,2008,2.7,223,335,424222.28
Audi,A4,2006,1.4,14,143,287950.45
Ford,Kuga,2001,2.7,37,159,358516.16
Ford,Mondeo,2016,2.6,250,198,297621.7
Volkswagen,Passat,2015,2.2,245,118,185598.58
Audi,Q5,2015,1.7,101,155,383915.01
Toyota,RAV4,2013,2.3,47,213,405218.02
Volkswagen,Golf,2001,1.9,228,204,227560.27
Ford,Kuga,2018,1.6,161,184,336522.21
Toyota,RAV4,2002,2.1,201,346,442623.05
Skoda,Octavia,2007,1.6,130,135,237967.36
Toyota,Corolla,2020,1.4,180,256,356657.86
Skoda,Superb,2018,1.7,119,270,417000.67
Kia,Ceed,2015,1.1,153,207,339554.39
Mercedes-Benz,C-Class,2021,2.6,75,121,343406.41
Toyota,Camry,2003,2.3,206,282,343771.64
BMW,3 Series,2007,1.6,55,227,412781.01
Hyundai,Elantra,2000,1.7,158,275,316926.14
Toyota,Corolla,2003,2.4,69,205,337510.55
Kia,Rio,2006,2.6,147,144,262494.28
Mercedes-Benz,E-Class,2000,2.1,99,138,247756.0
Ford,Focus,2017,1.9,221,118,208627.3
Audi,A3,2003,1.2,178,271,371720.89
Nissan,X-Trail,2019,1.8,122,131,284493.88
Audi,A3,2013,1.4,75,236,399899.14
Hyundai,Elantra,2007,1.4,127,274,392715.21
Nissan,Qashqai,2017,2.6,234,218,338118.97
Hyundai,Elantra,2006,1.9,160,190,286810.3
Kia,Ceed,2002,2.1,176,166,205928.99
BMW,X5,2020,2.2,104,122,321555.66
Ford,Kuga,2013,1.9,269,78,143429.32
Kia,Sportage,2011,2.0,268,320,372314.09
Audi,Q5,2014,2.0,129,193,323865.21
BMW,X5,2007,1.8,83,191,339118.35
Kia,Sportage,2004,2.1,105,268,381988.5
BMW,3 Series,2016,2.0,186,164,278541.91
Skoda,Octavia,2009,2.0,36,99,290344.38
Volkswagen,Tiguan,2010,2.0,220,161,251094.31
Hyundai,Elantra,2022,3.0,266,153,249063.91
Audi,A4,2015,2.5,214,84,210752.53
Nissan,Qashqai,2015,2.4,75,212,384967.05
Audi,A3,2003,2.2,159,278,397559.78
Toyota,Corolla,2022,2.2,176,92,229409.94
Kia,Ceed,2004,1.9,229,213,277238.81
Audi,Q5,2009,2.6,267,156,241460.56
Skoda,Octavia,2013,2.2,212,262,342334.94
Kia,Sportage,2008,2.3,249,242,330381.85
Ford,Kuga,2017,1.9,238,332,469498.36
Audi,A3,2019,1.6,165,119,262351.75
Volkswagen,Golf,2005,2.6,227,117,200580.31
Hyundai,Santa Fe,2010,2.1,204,118,235330.72
Kia,Rio,2020,1.8,279,237,339272.92
Mercedes-Benz,C-Class,2016,2.2,25,236,444008.12
Hyundai,Santa Fe,2008,1.9,250,151,189472.15
Volkswagen,Golf,2002,2.8,261,132,172214.23
Mercedes-Benz,GLC,2015,1.8,60,297,463904.32
Kia,Sportage,2019,2.2,37,283,458695.5
Mercedes-Benz,E-Class,2003,2.5,62,199,386686.23
Ford,Mondeo,2021,2.3,125,223,371147.83
Skoda,Kodiaq,2014,2.3,18,311,513746.6
Nissan,Leaf,2001,1.7,20,165,294601.56
Ford,Kuga,2019,2.1,116,301,481706.06
Mercedes-Benz,GLC,2016,2.2,267,307,415249.31
Nissan,Qashqai,2018,2.1,191,87,179769.17
Skoda,Octavia,2019,2.7,179,315,478032.31
Toyota,Corolla,2015,1.9,148,129,233151.57
Volkswagen,Golf,2018,2.0,294,199,261055.97
Hyundai,Elantra,2020,3.3,120,118,375265.56
Nissan,Leaf,2016,2.4,101,235,412526.68
Skoda,Octavia,2003,1.5,229,237,309026.59
Kia,Rio,2017,2.2,14,322,542860.14
Mercedes-Benz,E-Class,2003,2.4,29,133,296584.35
Volkswagen,Golf,2020,1.6,110,102,248638.22
Hyundai,Tucson,2002,1.8,166,127,248021.15
Volkswagen,Tiguan,2021,1.4,10,133,392027.73
Audi,Q5,2017,2.1,221,194,302848.81
Skoda,Superb,2020,1.2,128,130,305298.08
Skoda,Superb,2019,1.6,269,318,419351.32
Skoda,Superb,2004,1.3,184,207,273279.94
Kia,Rio,2008,2.2,143,135,257947.78
BMW,X5,2021,1.8,111,248,405591.09
Volkswagen,Golf,2022,2.2,71,240,490565.37
Hyundai,Santa Fe,2014,1.1,63,312,489729.26
Skoda,Octavia,2008,1.6,16,189,362786.21
Kia,Sportage,2013,2.4,12,261,454882.57
Kia,Sportage,2020,1.4,158,256,402931.28
Audi,A3,2001,2.5,297,296,292977.28
Nissan,X-Trail,2017,1.9,21,335,519583.3
Toyota,Corolla,2012,1.6,113,261,392485.9
Mercedes-Benz,C-Class,2020,1.6,120,309,455463.77
BMW,X5,2015,2.1,272,163,233749.37
Volkswagen,Golf,2005,3.1,182,195,322980.31
Ford,Focus,2015,3.4,104,168,402497.78
Kia,Sportage,2003,1.3,212,312,383855.64
Volkswagen,Golf,2009,2.3,54,89,256145.87
Toyota,Corolla,2018,2.8,43,186,424651.73
Ford,Kuga,2010,1.4,220,168,242215.29
Nissan,Leaf,2004,1.7,234,224,231367.38
Hyundai,Santa Fe,2017,2.1,273,254,365432.87
Audi,A4,2002,2.0,235,72,100000.0
Audi,A3,2007,1.3,113,226,344819.93
Mercedes-Benz,C-Class,2010,2.4,230,244,312060.74
BMW,X5,2020,2.2,132,138,272516.79
Skoda,Kodiaq,2018,2.5,231,90,192350.4
Hyundai,Elantra,2020,2.3,52,187,328609.78
Hyundai,Elantra,2002,2.3,219,346,396148.96
Volkswagen,Passat,2011,2.0,20,199,397463.48
Ford,Focus,2014,2.6,225,275,390662.95
Nissan,Qashqai,2022,1.3,173,266,349694.36
Skoda,Kodiaq,2015,1.5,234,204,311251.99
Kia,Sportage,2004,2.5,234,272,401307.04
Nissan,X-Trail,2018,1.9,255,104,236701.29
Hyundai,Elantra,2005,1.5,155,99,178321.32
Mercedes-Benz,C-Class,2011,2.4,200,326,415515.38
Audi,Q5,2018,2.3,270,251,318578.27
Volkswagen,Passat,2008,1.0,296,277,343636.59
Mercedes-Benz,E-Class,2017,2.3,25,198,394540.68
BMW,X5,2002,1.7,203,132,177773.63
Volkswagen,Tiguan,2022,2.2,18,146,392941.97
Kia,Rio,2013,2.0,11,84,310899.16
Ford,Kuga,2020,2.3,93,128,336849.16
Ford,Mondeo,2004,2.0,218,220,261633.85
Kia,Rio,2004,1.4,67,177,320838.63
Volkswagen,Tiguan,2003,1.2,115,176,313050.57
Audi,Q5,2021,1.3,145,208,349556.84
Toyota,RAV4,2015,1.4,86,349,511374.56
Toyota,Camry,2012,2.2,219,141,241579.69
Mercedes-Benz,C-Class,2007,2.5,241,180,248755.89
Toyota,Corolla,2020,1.8,134,295,460332.76
BMW,3 Series,2015,1.6,189,175,304730.26
Kia,Ceed,2001,2.0,299,228,279068.43
Skoda,Kodiaq,2007,1.0,223,219,272118.83
Ford,Mondeo,2002,2.3,106,83,208683.58
Skoda,Octavia,2022,2.0,258,74,163386.72
Skoda,Kodiaq,2008,2.0,230,196,309450.3
Skoda,Superb,2010,1.7,22,342,509197.87
Volkswagen,Tiguan,2020,1.7,100,280,446544.68
BMW,X5,2019,1.2,202,286,392987.73
Volkswagen,Golf,2000,2.4,208,148,222218.55
Skoda,Superb,2000,1.4,269,162,143052.76
Hyundai,Elantra,2021,1.6,73,307,504149.85
Skoda,Superb,2007,1.5,241,303,369613.65
Audi,A3,2015,2.4,236,246,349951.74
Kia,Rio,2009,1.7,176,324,430998.48
Volkswagen,Tiguan,2001,2.5,260,201,247634.49
Volkswagen,Golf,2015,2.3,195,334,416553.07
Nissan,Leaf,2003,1.5,258,248,310358.23
Toyota,Corolla,2018,1.9,281,215,255196.21
Nissan,X-Trail,2008,1.2,147,212,289736.98
Nissan,Qashqai,2002,2.2,118,89,234990.56
Kia,Sportage,2010,1.7,53,127,255684.87
Mercedes-Benz,GLC,2007,1.5,210,135,202047.33
BMW,3 Series,2006,1.9,113,82,251836.95
Mercedes-Benz,GLC,2000,1.8,129,131,229311.71
Toyota,Camry,2007,2.1,37,115,250059.38
BMW,5 Series,2016,2.9,116,162,353809.0
Audi,A4,2010,2.7,289,292,367742.17
Volkswagen,Passat,2006,1.4,37,92,247537.86
Kia,Sportage,2008,2.8,195,136,192524.39
Kia,Sportage,2013,2.0,204,183,317666.2
Ford,Focus,2004,1.0,155,275,398739.69
Nissan,Qashqai,2017,1.9,269,135,213885.33
Audi,Q5,2022,1.2,186,119,224431.32
BMW,5 Series,2012,1.8,137,210,351835.78
Kia,Rio,2004,3.0,115,327,480132.55
Mercedes-Benz,GLC,2007,1.3,220,103,180810.46
Audi,A3,2014,1.3,20,322,505249.63
Mercedes-Benz,C-Class,2021,2.0,26,138,366626.78
Skoda,Octavia,2003,1.6,75,258,405231.42
BMW,3 Series,2000,1.9,122,222,388110.46
Hyundai,Tucson,2005,2.1,141,272,394530.14
Toyota,Camry,2018,1.3,80,146,315446.12
Skoda,Octavia,2011,2.1,70,260,387028.82
Mercedes-Benz,GLC,2006,1.6,253,97,109711.3
Kia,Sportage,2012,2.5,14,282,489133.14
Ford,Focus,2006,1.6,30,125,283006.81
Audi,A3,2008,1.6,195,181,240588.47
Toyota,RAV4,2000,1.5,218,312,333244.81
Hyundai,Santa Fe,2020,1.8,240,223,339110.1
Mercedes-Benz,E-Class,2012,1.3,23,224,385049.1
Kia,Rio,2018,2.3,88,340,501788.55
Kia,Ceed,2020,1.7,191,119,216262.46
BMW,5 Series,2000,2.4,87,137,246105.16
Nissan,Qashqai,2019,2.0,281,201,273114.74
Audi,A3,2020,2.9,60,227,439429.15
BMW,X5,2018,1.9,266,334,423837.01
Nissan,Qashqai,2017,1.8,27,239,427002.87
Toyota,Corolla,2022,2.3,299,339,381896.45
Nissan,Leaf,2004,1.0,227,289,304508.37
Hyundai,Tucson,2002,1.8,109,109,208673.63
Nissan,Qashqai,2001,2.0,158,148,262807.09
Toyota,Camry,2021,2.4,164,308,459470.87
