area,rooms,floor,year_built,price,age
68.8,3,2,1999,84842.43,26
65.4,3,8,1999,84558.09,26
63.5,1,11,1999,65977.08,26
62.3,2,22,1999,77596.42,26
72.8,4,1,1999,102623.12,26
73.5,1,8,1999,72122.94,26
41.4,2,14,1998,52465.67,27
52.5,4,19,1998,88766.01,27
65.4,1,22,1998,76667.39,27
42.1,3,8,1998,60302.78,27
61.0,1,7,1998,52947.2,27
74.0,4,24,1997,96898.35,28
88.3,2,7,1997,93213.2,28
59.6,1,15,1997,46316.68,28
117.8,2,9,1997,115574.44,28
60.1,2,8,1996,71116.2,29
58.9,2,10,1996,66247.55,29
69.8,1,9,1996,84139.4,29
75.5,1,21,1996,64744.11,29
39.3,1,15,1996,57527.61,29
65.4,3,24,1996,94766.01,29
69.5,2,11,1996,81943.63,29
46.4,2,5,1996,48601.84,29
57.6,2,6,1995,60911.62,30
40.2,2,19,1995,56422.05,30
49.3,3,8,1995,80228.96,30
58.8,3,12,1995,65005.02,30
63.1,1,2,1995,57998.05,30
57.2,3,3,1994,62489.12,31
60.2,1,5,1994,68490.01,31
45.4,1,15,1994,45884.86,31
54.2,1,3,1994,46112.74,31
71.5,3,4,1994,91105.52,31
64.2,2,18,1994,79735.18,31
68.4,1,23,1994,67405.41,31
77.4,2,11,1993,87209.58,32
64.4,2,14,1993,55754.88,32
92.9,2,10,1993,85864.93,32
83.7,2,22,1993,89821.06,32
65.0,3,2,1993,82760.6,32
68.6,3,10,1993,86679.04,32
56.6,2,19,1993,54602.25,32
51.2,4,23,1993,102311.37,32
62.6,1,19,1993,61261.02,32
46.7,1,11,1992,51883.83,33
55.6,2,5,1992,57259.79,33
69.7,3,13,1992,97542.04,33
73.8,2,1,1991,44028.92,34
53.0,2,19,1991,62089.15,34
20.7,1,19,1991,32281.97,34
53.0,2,20,1991,75704.72,34
57.7,1,23,1990,56864.93,35
46.4,3,1,1990,79198.92,35
61.0,4,11,1990,75068.93,35
63.2,2,21,1990,65308.66,35
66.9,4,1,1990,91145.66,35
63.0,3,8,1989,85891.55,36
67.7,3,21,1989,80077.1,36
47.4,2,11,1989,56888.04,36
50.3,2,14,1989,69142.5,36
60.2,2,19,1988,87190.28,37
63.8,3,11,1988,83333.14,37
54.1,3,23,1988,74705.69,37
30.6,2,20,1988,67636.96,37
48.3,4,20,1987,61745.71,38
82.8,3,12,1987,94241.91,38
39.0,3,22,1986,37989.73,39
71.3,1,5,1986,60065.69,39
52.9,2,22,1985,60645.12,40
49.4,2,17,1985,68216.23,40
66.1,2,17,1985,66253.64,40
67.1,2,8,1985,86055.72,40
64.5,4,4,1985,89240.9,40
46.2,2,13,1985,71333.28,40
49.5,4,1,1985,72162.81,40
64.6,3,22,1985,69753.44,40
31.2,2,20,1984,53511.06,41
67.6,1,20,1984,66800.15,41
48.1,2,7,1984,46134.12,41
62.6,2,21,1984,75160.4,41
47.9,1,14,1984,58119.67,41
42.9,2,1,1984,41032.0,41
68.8,2,23,1983,53577.8,42
49.3,3,7,1983,65360.87,42
68.1,4,20,1983,102765.52,42
66.2,3,8,1983,58057.96,42
58.9,2,11,1983,56859.77,42
77.4,3,6,1982,81941.61,43
79.0,2,19,1982,67356.12,43
92.2,1,17,1982,78501.06,43
33.6,3,17,1982,59672.84,43
83.5,1,5,1982,80117.33,43
63.9,3,21,1982,86295.2,43
57.1,3,20,1982,85042.13,43
51.0,2,23,1982,58584.88,43
69.4,2,5,1982,87595.86,43
52.1,2,23,1981,71807.97,44
42.5,3,6,1981,60747.98,44
72.2,3,22,1981,85219.04,44
88.5,2,1,1981,58022.72,44
71.6,3,16,1981,86760.65,44
82.0,2,4,1980,64343.28,45
60.7,3,24,1980,87533.67,45
77.1,3,1,1980,98669.11,45
87.8,2,10,1980,90975.53,45
66.7,1,13,1980,53548.82,45
65.2,2,5,1980,77948.9,45
83.2,2,24,1980,74098.37,45
54.9,4,19,1980,83081.26,45
37.8,1,15,1979,49762.78,46
49.8,3,18,1979,81551.99,46
64.2,3,16,1979,76884.26,46
72.4,2,4,1978,58142.55,47
74.3,1,21,1978,66104.48,47
41.7,3,8,1978,61274.39,47
70.2,4,20,1978,103226.16,47
59.8,3,12,1978,60810.81,47
61.7,2,10,1977,62046.2,48
53.7,2,7,1977,57643.76,48
63.0,2,5,1977,56952.37,48
58.3,3,17,1977,76081.2,48
45.3,2,4,1977,51641.25,48
61.7,4,6,1977,83873.22,48
75.1,4,9,1976,95180.27,49
92.0,1,2,1976,81722.8,49
67.1,1,4,1976,54091.35,49
63.9,2,8,1976,59226.27,49
50.2,3,1,1976,60295.71,49
72.3,3,14,1976,100729.9,49
61.2,2,7,1976,51054.56,49
100.8,2,8,1976,93510.89,49
63.2,2,14,1976,65565.43,49
52.7,2,24,1976,48392.49,49
61.4,4,10,1976,88207.68,49
51.6,4,1,1975,86086.39,50
62.8,2,18,1975,49873.53,50
75.5,2,23,1975,59892.45,50
43.8,1,24,1975,27623.31,50
44.6,2,1,1974,32977.43,51
42.0,3,17,1974,52993.39,51
30.7,3,1,1973,43667.78,52
20.0,3,18,1973,41768.22,52
56.6,1,13,1973,39604.16,52
53.0,3,1,1973,57166.1,52
30.2,2,18,1973,50236.21,52
73.0,2,9,1971,72895.8,54
77.0,1,20,1971,61089.79,54
45.1,4,5,1971,56601.24,54
54.2,3,12,1971,51021.57,54
76.3,3,19,1971,101707.27,54
96.9,4,1,1971,100057.7,54
49.8,2,20,1970,56804.92,55
64.4,4,10,1970,82619.51,55
49.2,3,24,1970,59854.41,55
56.5,4,8,1970,98217.5,55
94.7,2,18,1969,87402.14,56
65.4,1,5,1969,52475.4,56
61.0,3,13,1969,80247.33,56
91.8,2,13,1969,97653.53,56
65.6,2,24,1969,58524.84,56
53.3,1,23,1968,62135.37,57
37.3,4,11,1968,67447.66,57
73.7,1,6,1968,57713.64,57
56.7,2,8,1968,64568.76,57
84.5,2,15,1968,65123.12,57
55.4,2,9,1968,58934.02,57
70.7,3,14,1968,76557.0,57
49.0,1,6,1967,56274.88,58
56.5,2,6,1967,40534.75,58
72.8,2,17,1967,85530.11,58
62.0,1,22,1967,63071.1,58
36.7,2,6,1966,26588.99,59
42.7,4,18,1966,83293.08,59
41.3,2,19,1966,41989.04,59
59.1,3,19,1966,75956.1,59
51.0,3,10,1966,71835.56,59
37.2,1,19,1966,30043.15,59
38.8,1,19,1965,31637.77,60
81.0,4,4,1965,79553.39,60
50.1,3,21,1965,79123.97,60
56.3,3,15,1964,51516.31,61
69.2,1,14,1964,75298.89,61
55.5,1,11,1964,57376.92,61
44.8,2,14,1963,63441.75,62
74.5,2,17,1963,68390.35,62
65.2,1,3,1962,44901.19,63
67.5,2,8,1962,61891.85,63
72.7,3,3,1962,75099.33,63
76.2,1,19,1962,84849.22,63
63.4,2,5,1961,57017.16,64
58.9,3,9,1961,73434.48,64
71.1,2,9,1961,60530.19,64
75.9,1,23,1961,69499.62,64
82.2,2,7,1961,85701.48,64
63.9,3,13,1960,71197.08,65
41.3,2,5,1960,35081.77,65
62.6,3,17,1960,66601.65,65
